<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220103,000000,295.9000000,305.5000000,294.3400000,305.4700000,50156260
20220104,000000,305.5100000,310.1000000,301.6300000,304.2400000,53268220
20220105,000000,303.5600000,304.2600000,287.0000000,287.0100000,70015940
20220106,000000,286.8600000,295.1000000,281.0000000,293.9200000,79329410
20220110,000000,295.5300000,298.8800000,288.6800000,291.6900000,67393720
20220111,000000,292.9300000,293.9400000,288.7100000,291.8800000,58894910
20220112,000000,292.5000000,292.9200000,285.0500000,290.4000000,81815210
20220113,000000,289.6900000,290.3700000,269.9000000,272.5000000,211547650
20220114,000000,272.3900000,277.9800000,249.2000000,261.0000000,406232780
20220117,000000,262.2000000,264.0100000,247.0000000,257.7800000,248613210
20220118,000000,258.8000000,259.3900000,228.0900000,234.7000000,484049150
20220119,000000,232.8900000,249.0000000,221.0300000,244.8600000,360884470
20220120,000000,244.1200000,263.0000000,240.0100000,254.6100000,329059220
20220121,000000,252.9800000,259.0800000,246.0000000,246.9000000,295614320
20220124,000000,246.5100000,249.8800000,226.0000000,236.9700000,325615680
20220125,000000,236.9900000,243.5500000,231.0000000,239.5900000,232503340
20220126,000000,240.0600000,245.1700000,233.3000000,236.9000000,224800440
20220127,000000,234.9900000,260.0000000,233.1000000,254.2900000,301187890
20220128,000000,255.8600000,262.0000000,252.0200000,257.8200000,204153960
20220131,000000,258.8800000,269.6000000,258.8100000,269.4200000,156087540
20220201,000000,269.7100000,273.1000000,260.5600000,264.7000000,170357700
20220202,000000,265.8000000,266.9100000,254.5200000,261.0000000,170198890
20220203,000000,258.4500000,259.8700000,250.0600000,250.7900000,151127560
20220204,000000,251.9900000,259.7400000,251.9100000,256.5300000,126990670
20220207,000000,257.0000000,260.5300000,253.5200000,257.6100000,85547520
20220208,000000,257.6100000,269.9000000,256.5200000,269.8000000,161498400
20220209,000000,270.0100000,279.7100000,270.0000000,279.0900000,193232800
20220210,000000,279.2100000,282.3000000,273.6700000,275.2000000,180119880
20220211,000000,274.8800000,275.8700000,259.6100000,260.8300000,213783420
20220214,000000,256.6900000,259.5000000,245.1000000,256.7000000,357398630
20220215,000000,257.6000000,274.0000000,257.5100000,274.0000000,271473810
20220216,000000,276.8800000,281.0000000,274.1500000,277.7800000,195684110
20220217,000000,277.0000000,277.0000000,259.3600000,260.5800000,262060710
20220218,000000,262.1400000,267.0000000,245.0000000,250.2800000,270538090
20220221,000000,249.1200000,258.3200000,184.3000000,201.0000000,1084339130
20220222,000000,198.7200000,219.9000000,182.0300000,208.5300000,945941710
20220224,000000,186.5800000,187.5400000,89.5900000,132.1800000,828329350
20220225,000000,123.7500000,152.8900000,115.1100000,131.1200000,396287150
20220324,000000,131.0000000,156.2000000,130.1500000,136.2400000,153705270
20220325,000000,137.1000000,147.0000000,128.2000000,131.5000000,57307510
20220328,000000,130.6000000,131.4700000,125.0000000,125.0000000,32756540
20220329,000000,126.1900000,137.5700000,122.0000000,128.7700000,72242360
20220330,000000,136.5000000,138.4000000,131.1100000,134.6000000,35411460
20220331,000000,135.2000000,147.4100000,134.5200000,143.6900000,118239240
20220401,000000,144.9900000,155.4000000,144.5100000,154.5000000,118603620
20220404,000000,158.7600000,166.8800000,150.2000000,166.0000000,115516920
20220405,000000,169.8300000,169.9000000,147.7600000,154.1000000,130008010
20220406,000000,143.5200000,153.3000000,140.6500000,141.6000000,108343440
20220407,000000,143.2000000,149.9000000,142.5000000,147.5000000,58520280
20220408,000000,149.0100000,151.0000000,141.0600000,143.7200000,48314240
20220411,000000,144.1200000,146.9800000,138.5000000,138.6900000,47482340
20220412,000000,138.8400000,140.1000000,130.3500000,135.3800000,75342120
20220413,000000,136.7800000,138.1400000,132.7200000,135.5000000,38947640
20220414,000000,135.7000000,135.8900000,129.0500000,129.0500000,44206040
20220415,000000,128.5500000,131.7200000,125.1200000,130.8800000,46693490
20220418,000000,131.4500000,132.6800000,123.7000000,123.8500000,58331430
20220419,000000,123.8500000,123.8500000,115.3600000,120.3000000,79797640
20220420,000000,120.9000000,125.4400000,117.5100000,121.5000000,66509740
20220421,000000,121.9700000,123.0500000,117.8500000,118.6500000,40607300
20220422,000000,118.6900000,122.3200000,115.5500000,116.9700000,57392470
20220425,000000,115.9500000,116.4000000,111.5000000,111.9000000,45714280
20220426,000000,112.5800000,124.9200000,111.9000000,122.3600000,83480680
20220427,000000,123.0100000,131.7300000,120.6000000,131.1100000,115400220
20220428,000000,132.1400000,134.5000000,123.0500000,123.8500000,123344490
20220429,000000,123.6000000,130.0000000,122.8000000,128.8000000,87296290
20220504,000000,129.1000000,131.5000000,122.5000000,123.2000000,67177440
20220505,000000,124.2100000,125.5400000,122.7500000,124.8000000,42303350
20220506,000000,124.7400000,124.9900000,121.5200000,123.1000000,30558900
20220511,000000,123.0100000,126.0500000,121.8600000,123.3400000,32776680
20220512,000000,123.1000000,123.7400000,118.0500000,119.1500000,30817890
20220513,000000,120.4500000,121.5900000,118.2000000,120.2000000,22762650
20220516,000000,120.7000000,123.5000000,119.5000000,123.4100000,34889180
20220517,000000,124.0100000,127.7800000,123.6500000,127.7500000,41838840
20220518,000000,128.2000000,131.3000000,125.0000000,125.1200000,55422410
20220519,000000,125.3100000,126.8600000,123.2100000,125.6000000,34146310
20220520,000000,126.0700000,127.0000000,121.0500000,122.2000000,39225870
20220523,000000,121.5100000,122.5000000,118.9000000,119.4600000,37711030
20220524,000000,119.4500000,125.0000000,117.1000000,123.6000000,45091260
20220525,000000,124.1200000,125.5000000,120.5000000,124.1500000,53466830
20220526,000000,124.8100000,125.9900000,122.0000000,123.0000000,51897210
20220527,000000,123.1000000,123.5000000,120.9000000,121.2200000,32523920
20220530,000000,121.6000000,123.0000000,120.2100000,120.6700000,24894090
20220531,000000,120.0000000,120.0000000,117.6200000,118.3000000,29907440
20220601,000000,117.5000000,122.6900000,117.0000000,121.9700000,43722390
20220602,000000,121.9000000,122.3900000,118.5000000,119.0000000,42732340
20220603,000000,119.2900000,120.1600000,117.1800000,119.2100000,34298730
20220606,000000,119.3600000,120.3500000,118.2900000,118.7800000,22191350
20220607,000000,118.6500000,118.9000000,117.3200000,118.3200000,22238300
20220608,000000,118.5000000,122.1900000,118.4000000,119.9000000,41488860
20220609,000000,120.0600000,120.2000000,117.7000000,118.2000000,29343850
20220610,000000,118.0300000,119.5500000,117.7300000,118.0700000,25343510
20220614,000000,118.0400000,119.8800000,115.8000000,118.9800000,37579410
20220615,000000,119.4000000,121.7100000,118.7100000,121.1400000,52145030
20220616,000000,121.5000000,123.7300000,120.4100000,123.7300000,47892000
20220617,000000,123.9000000,125.1800000,123.1100000,123.8800000,36503100
20220620,000000,124.0500000,131.5000000,123.6000000,131.2900000,65637580
20220621,000000,131.9800000,133.4900000,127.1100000,129.1000000,75189920
20220622,000000,127.8800000,133.2100000,126.0300000,133.1100000,67693510
20220623,000000,133.8200000,138.4000000,131.5000000,136.8500000,107981870
20220624,000000,137.1900000,138.3000000,135.2100000,137.7600000,45185200
20220627,000000,137.7000000,141.7700000,136.7700000,141.1500000,69806790
20220628,000000,141.7600000,142.3500000,138.5000000,139.6700000,44676250
